Link,Title,Product Identified,Monthly Sales,Review,Price,Review,Image
https://www.amazon.in/Wrestling-Headgear-Grappling-Guard-Ultra/dp/B095MCVHRZ/ref=zg_bs_g_3403677031_d_sccl_30/521-8137478-2842638?psc=1,"Wrestling Headgear - BJJ and Grappling Ear Guard - Ultra Soft Head Guard (Black, Youth)",Wrestling Headgear,9K+ bought in past month,-101,"7,101",101,https://m.media-amazon.com/images/I/71Sxb74kOzS._SX679_.jpg
https://www.amazon.in/ROARFIT-COMMIT-FIT-POWERLIFTING-COMPETITIONS/dp/B0CYWP2J21/ref=zg_bs_g_3403677031_d_sccl_29/521-8137478-2842638?psc=1,BHARAT SUBLIMATED SINGLET FOR POWERLIFTING AND WRESTLING COMPETITIONS AVAILABLE FOR MEN & WOMEN (XTRA SMALL),Bharat Sublimated Singlet Powerlifting,900+ bought in past month,,,0,
https://www.amazon.in/Support-Wrestling-Running-Arthritis-Dancing/dp/B0D97R6SPP/ref=zg_bs_g_3403677031_d_sccl_28/521-8137478-2842638?psc=1,Knee Guards For Adults Pure Support Knee Brace Right Knee Braces For Women Youth Knee Sleeve Wrestling Knee Sleeve Running Men Arthritis Knee Brace Knee Pads Dancing Black Medium,Knee Brace,900+ bought in past month,,399,0,
https://www.amazon.in/Xpeed-Wrestling-Suit-Compression-Spandex/dp/B09Q5TX5S3/ref=zg_bs_g_3403677031_d_sccl_27/521-8137478-2842638?psc=1,Xpeed Wrestling Suit for Men Wrestling Suit Wrestling Compression Suit for Men Wrestling Suit Spandex Wrestling Suit Red(30),Xpeed Wrestling Suit Wrestling,900+ bought in past month,,"1,349",0,https://m.media-amazon.com/images/I/31mux834TlL.jpg
https://www.amazon.in/Xpeed-Mens-Weightlifting-Suit-Wrestling/dp/B0CDM4MR5H/ref=zg_bs_g_3403677031_d_sccl_26/521-8137478-2842638?psc=1,"Xpeed Men's Weightlifting Suit Set || Wrestling Singlet || Sleek & Stylish Design Tracksuit || gym wear for men (Pack of 1) (Regular, XS, Red)",Wrestling Singlet,900+ bought in past month,,"1,390",0,https://m.media-amazon.com/images/I/31Ufai00b1L.jpg
https://www.amazon.in/Xpeed-Wrestling-Suit-Compression-Spandex/dp/B09Q5TY85G/ref=zg_bs_g_3403677031_d_sccl_25/521-8137478-2842638?psc=1,Xpeed Wrestling Suit for Men Wrestling Suit Wrestling Compression Suit for Men Wrestling Suit Spandex Wrestling Suit Red(36),Xpeed Wrestling Suit Wrestling,8K+ bought in past month,,"1,349",0,https://m.media-amazon.com/images/I/31mux834TlL.jpg
https://www.amazon.in/Xpeed-Wrestling-Suit-Compression-Spandex/dp/B09Q5WWSDP/ref=zg_bs_g_3403677031_d_sccl_24/521-8137478-2842638?psc=1,Xpeed Wrestling Suit for Men Wrestling Suit Wrestling Compression Suit for Men Wrestling Suit Spandex Wrestling Suit Blue(28),Xpeed Wrestling Suit Wrestling,800+ bought in past month,,"1,349",0,https://m.media-amazon.com/images/I/31iYkpZMMKL.jpg
https://www.amazon.in/ADDICTION-Neoprene-Wrestling-Exercise-Compression/dp/B0DSJKYP4B/ref=zg_bs_g_3403677031_d_sccl_23/521-8137478-2842638?psc=1,"ADDICTION Neoprene Wrestling Singlet (costume) Full Body Exercise Compression Wear, Blue and Black (Red, 32)",Wrestling Singlet,800+ bought in past month,,650,0,https://m.media-amazon.com/images/I/61UOsDbJ-zL._SY879_.jpg
https://www.amazon.in/Matman-Wrestling-Eyelets-Guards-Adult/dp/B07GT8B6N1/ref=zg_bs_g_3403677031_d_sccl_22/521-8137478-2842638?psc=1,Matman Wrestling Hair Cap (12),Matman Wrestling Hair Cap,800+ bought in past month,-118,"1,639",118,https://m.media-amazon.com/images/I/814nFU2tj1L._SX679_.jpg
https://www.amazon.in/Womens-Leather-Harness-Adjustable-Waistband/dp/B0DSSVJGLZ/ref=zg_bs_g_3403677031_d_sccl_21/521-8137478-2842638?psc=1,Womens Punk Waist Belt Leather Harness Adjustable Wide Waistband Black,Womens Punk Waist Belt,800+ bought in past month,-1,"1,829",1,https://m.media-amazon.com/images/I/51D2LHPNhzL._SX679_.jpg
