Link,Image,Title,Ratings,Review,Monthly Sales,Price,Product Identified
https://www.amazon.in/Lightning-Certified-iPhone-Charging-Compatible/dp/B0DFCGB2D6/ref=zg_bs_g_1375248031_d_sccl_7/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/41uSdnQa7nL._SX522_.jpg,APFEN® Type C to Lightning [MFi Certified] Fast Charging Cable Compatible with iPhone 14/14 Pro/ 14 Pro Max/ 13/13 Pro/ 13 Pro Max/ 12/11/XR/XS/X/8 Series.,4.1,9129,8K+ bought in past month,273,Apfen Type C Lightning
https://www.amazon.in/Noise-65w-Power-Charger-Black/dp/B0DJSKV553/ref=zg_bs_g_1375248031_d_sccl_24/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/41u976e5AZL._SX679_.jpg,"Noise Power Series 65W GaN Charger: Fast Charging Adapter, 3 Ports (2 USB-C + 1 USB-A), Globally Compatible, iPhone 0 to 50% in 27mins, Supports All iPhones, Android Phones, Laptops, Macbooks (Black)",4.1,749,800+ bought in past month,0,Noise Power Series 65W
https://www.amazon.in/NFIL3D-50Meter-Multicolor-Filament-Colors/dp/B0DRJXHV4Z/ref=zg_bs_g_14784019031_d_sccl_15/521-8137478-2842638?psc=1,,NFIL3D 11pcs Multicolor Filament of 3D Pen 5Meter Each | 3D Pen Filament | 3D Pen Refill | 3D Pen for Kids | Compatible with All 3D Pens | 1.75mm | (Set of 10Pcs) + 1Free (Pack of 11),4,394,700+ bought in past month,219,Nfil3D 11Pcs Multicolor Filament
https://www.amazon.in/Aristocrat-25L-Nova-Laptop-Backpack/dp/B0D8BG7S4P/ref=zg_bs_g_1375248031_d_sccl_16/521-8137478-2842638?psc=1,,"Aristocrat Nova 15L Laptop Backpack for Men & Women with Bottle Pocket | Padded Shoulder Straps, Multi Compartments | Travel & College Bag | Dark Black",4.1,1538,6K+ bought in past month,389,Aristocrat Nova 15L Laptop
https://www.amazon.in/Toy-Imagine-Mini-Printer-Bluetooth/dp/B0D3XQZK7Q/ref=zg_bs_g_14784019031_d_sccl_24/521-8137478-2842638?psc=1,,"Toy Imagine Mini Portable Thermal Printer – Bluetooth Wireless Photo & Label Printer for Kids with 1 Paper Roll – 57mm Black & White Pocket Printer for Mobile, School, Stickers (Assorted)",3.8,269,600+ bought in past month,895,Mini Portable Thermal Printer
https://www.amazon.in/Amazon-Basics-15-inch-Writing-Drawing/dp/B0BBMSHRX6/ref=zg_bs_g_1375412031_d_sccl_24/521-8137478-2842638?psc=1,,"amazon basics Magic Wireless Slate 15-inch LCD Writing Tablet with Stylus Pen, for Drawing, Playing, Noting by Kids & Adults, Black",4,2798,600+ bought in past month,799,Amazon Basics Magic Wireless
https://www.amazon.in/Canon-PG-47-Ink-Cartridge-Black/dp/B00MOESXPE/ref=zg_bs_g_14784019031_d_sccl_2/521-8137478-2842638?psc=1,,Canon PIXMA PG47 Black Ink Cartridge,4.2,9095,5K+ bought in past month,620,Canon Pixma Pg47 Black
https://www.amazon.in/TP-Link-TL-WA850RE-300Mbps-Universal-Extender/dp/B00A0VCJPI/ref=zg_bs_g_1375427031_d_sccl_1/521-8137478-2842638?psc=1,,"TP-Link TL-WA850RE N300 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode",4.2,201217,5K+ bought in past month,"1,399",Tp Link Tl Wa850Re
https://www.amazon.in/Dell-KB216-Wired-Multimedia-Keyboard/dp/B00ZYLMQH0/ref=zg_bs_g_1375412031_d_sccl_9/521-8137478-2842638?psc=1,,"Dell KB216 Wired Multimedia Keyboard - Full-Size Layout with USB Interface, Chiclet Keys, Spill Resistance with 3 Indicator Lights| Plug and Play| Hot Keys: Volume, Mute, Play/Pause, Backward, Forward",4.3,39925,5K+ bought in past month,569,Dell Kb216 Wired Multimedia
https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0B296NTFV/ref=zg_bs_g_1375412031_d_sccl_6/521-8137478-2842638?psc=1,,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",4,13756,5K+ bought in past month,299,Portronics Toad 23 Wireless
https://www.amazon.in/ZEBRONICS-ZEB-KM2100-Multimedia-Including-Dedicated/dp/B077T3BG5L/ref=zg_bs_g_1375412031_d_sccl_4/521-8137478-2842638?psc=1,,ZEBRONICS ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,3.7,44400,5K+ bought in past month,249,Zebronics Zeb Km2100 Multimedia
https://www.amazon.in/Portronics-Wireless-Bluetooth-Connectivity-Rechargeable/dp/B0BG8LZNYL/ref=zg_bs_g_1375412031_d_sccl_3/521-8137478-2842638?psc=1,,"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",4.3,6691,5K+ bought in past month,549,Portronics Toad One Bluetooth
https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0B296NTFV/ref=zg_bs_g_1375248031_d_sccl_29/521-8137478-2842638?psc=1,,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",4,13756,5K+ bought in past month,299,Portronics Toad 23 Wireless
https://www.amazon.in/ZEBRONICS-ZEB-KM2100-Multimedia-Including-Dedicated/dp/B077T3BG5L/ref=zg_bs_g_1375248031_d_sccl_23/521-8137478-2842638?psc=1,,ZEBRONICS ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,3.7,44400,5K+ bought in past month,249,Zebronics Zeb Km2100 Multimedia
https://www.amazon.in/Portronics-Wireless-Bluetooth-Connectivity-Rechargeable/dp/B0BG8LZNYL/ref=zg_bs_g_1375248031_d_sccl_15/521-8137478-2842638?psc=1,,"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",4.3,6691,5K+ bought in past month,549,Portronics Toad One Bluetooth
https://www.amazon.in/Portronics-Konnect-POR-1403-Charging-Function/dp/B09KH58JZR/ref=zg_bs_g_1375248031_d_sccl_8/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61TAAu1LrqL._SX679_.jpg,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),4.1,32870,5K+ bought in past month,110,Portronics Konnect L Por
https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JJ2CK6/ref=zg_bs_g_1375248031_d_sccl_2/521-8137478-2842638?psc=1,,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",4.1,12964,5K+ bought in past month,669,Safari Omega Spacious Large
https://www.amazon.in/Redmi-Pad-Wi-Fi-Cellular-AI-Enabled/dp/B0FBRTMYDF/ref=zg_bs_g_1375458031_d_sccl_28/521-8137478-2842638?psc=1,,"Redmi Pad 2 Wi-Fi + Cellular, Active Pen Support, 27.94cm(11"") Model, 2.5K Sharp & Clear Display, 8GB, 256GB, All Day & More 9000mAh Battery, AI-Enabled, Dolby Atmos, HyperOS 2, Sky Blue",4.3,983,500+ bought in past month,"18,999",Redmi Pad 2 Wi
https://www.amazon.in/Lenovo-Speakers-Refresh-Android-Kickstand/dp/B0D6G4CVZ7/ref=zg_bs_g_1375458031_d_sccl_18/521-8137478-2842638?psc=1,,"Lenovo Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 128 GB ROM| 11.5 Inch, 2K, 90 Hz Refresh| Wi-Fi Tablet| Android 14| 45 W Fast Charger| Built-in Kickstand| Color: Luna Grey",4.5,1624,500+ bought in past month,"18,998",Lenovo Tab Plus Octa
https://www.amazon.in/Lenovo-Smartchoice-AI-Enabled-MediaTek-Dimensity/dp/B0DZCB3G9Q/ref=zg_bs_g_1375458031_d_sccl_13/521-8137478-2842638?psc=1,,"Lenovo {Smartchoice} Idea Tab Pro with Pen Plus|12.7"" 3K Display|144 Hz Refresh|12 GB RAM, 256 GB ROM| AI-Enabled| MediaTek Dimensity 8300|Quad JBL Speakers|10200 mAh Battery with 45 W Charger|WiFi 6e",4.3,1009,500+ bought in past month,"31,999",Lenovo Smartchoice Idea Tab
https://www.amazon.in/Samsung-Galaxy-Display-Storage-Tablet/dp/B0F29P9CKJ/ref=zg_bs_g_1375458031_d_sccl_10/521-8137478-2842638?psc=1,,"Samsung Galaxy Tab S10 FE, S Pen in-Box, 27.7 cm (10.9 inch) Display, AI Writing, Desktop Mode, Pre Loaded Pro Apps, 8 GB RAM, 128 GB Storage, Wi-Fi Tablet, Gray",4.6,146,500+ bought in past month,"37,999",Samsung Galaxy Tab S10
