data-page-selector,Image,Title,Ratings,Review,Monthly Sales,Price,Product Identified
https://www.amazon.in/ZIVIK-Magnifying-Newspaper-Extensions-Magnifier/dp/B09BB45JXG/ref=zg_bs_g_3591020031_d_sccl_15/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61rD8oKzdoL._SX679_.jpg,"ZIVIK Magnifying Glass with 3 Led Light 3X & 45X Big Size Zoom Lenses for Seniors, Book and Newspaper Reading, Eyelash Extensions Magnifier Glass (Black and White) Size :-7.56 X 3.31",4.4,"1,131",900+ bought in past month,375,Zivik Magnifying Glass 3 Led Light
https://www.amazon.in/Climberty%C2%AE-Bulletin-30x30cm-Self-Adhesive-Schedules/dp/B0D1G7VW55/ref=zg_bs_g_3591020031_d_sccl_14/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61FQRhiybKL._SX679_.jpg,"Climberty® 6Pcs Black Felt Bulletin Board, 30x30cm Self-Adhesive Wall Boards with 50pcs Drawing Pins, Felt Message Board for Paste Notes, Photos, Schedules (Black)",4.5,429,900+ bought in past month,873,Felt Bulletin Board
https://www.amazon.in/UCRAVO-Stackable-Compartments-Multi-Functional-Stationery/dp/B0FP2MV5N8/ref=zg_bs_g_3591020031_d_sccl_10/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61RQ3p2wEpL._SX679_.jpg,"UCRAVO Stylish Stackable Desk Organizer with 2 Drawers and 5 Compartments– Multi-Functional Desktop Storage Box with Pen Holder for Home, Office, School, Craft Supplies, and Art Stationery - Blue",4.1,298,900+ bought in past month,178,Stackable Desk Organizer
https://www.amazon.in/Amitasha-Acrylic-Painting-Calligraphy-Doodling/dp/B0CT93YD4Q/ref=zg_bs_g_3591019031_d_sccl_25/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/717Ma+N+8-L._SX679_.jpg,"Amitasha 24 Shades Acrylic Markers Pen Paint Set for Rock Painting, Wood Paint Art Craft Calligraphy Drawing, Glass Ceramic, Journal, Doodling, Writing Books, Perfect for Sketching",4.1,792,900+ bought in past month,299,Amitasha 24 Shades Acrylic Markers Pen
https://www.amazon.in/Navneet-Youva-Canvas-Board-12x16/dp/B08BCM4R2B/ref=zg_bs_g_3591019031_d_sccl_23/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61rWd8AHZXL._SX679_.jpg,Navneet Youva | Primed Canvas Board for Acrylic and Oil Colour Painting | 12x16 inch | for Students and Budding Artists (12x16 inch | Pack of 1),4.5,900,900+ bought in past month,127,Primed Canvas Board
https://www.amazon.in/KALP-Talking-illustrated-Ink-Bleed-Hard-bound/dp/B0BQN515DF/ref=zg_bs_g_3591019031_d_sccl_3/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/41igSswM8aL._SY300_SX300_QL70_FMwebp_.jpg,"KALP 2026 Dated Planner Kit | Includes 450+ Stickers, Pocket Diary, Magnetic Bookmark, Activity Book, Posters & Eco-Friendly Pen | A5, 400 Pages, No Ink-Bleed, Hardbound (The Talking Diary)",4.4,374,900+ bought in past month,"1,424",Kalp 2026 Dated Planner Kit Includes
https://www.amazon.in/AICA-Personalized-Charm-Leather-Notebook/dp/B0DF7JDCYW/ref=zg_bs_g_3591019031_d_sccl_12/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/51hw-V8dYgL._SX679_.jpg,AICA Personalized Name & Charm Leather HardCover Diary (Black)Daily Diaries Diary for Mens|Gifts For Teenage Boys|Secret Santa GiftsIdeas|Journal Notebooks|Corporate Gifts for Employees|Christmas Gift,4.3,362,900+ bought in past month,359,Aica Personalized Name Charm Leather Hardcover
https://www.amazon.in/Anupam-Journal-Squared-Notebook-Engineering/dp/B0CLYHSMTV/ref=zg_bs_g_3591019031_d_sccl_10/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/21cCrkBVUOL._SY300_SX300_QL70_FMwebp_.jpg,"Anupam Fluct A5 Graph Journal | 160 Pages | 80gsm | Matte Finish PVC Cover Notebook | pH Neutral And Acid Free Paper | Matching Elastic Closure | Graph Sheets Good For Journaling, Offices (Black)",4.2,531,900+ bought in past month,201,Anupam Fluct A5 Graph Journal 160
https://www.amazon.in/Casio-FX-82ES-Plus-2nd-Non-Programmable/dp/B082P6TTMP/ref=zg_bs_g_3591018031_d_sccl_10/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61w1PMHiZoL._SX679_.jpg,"Casio FX-82ES Plus 2nd Edition - Non-Programmable Scientific Calculator, 252 Functions",4.2,"8,155",900+ bought in past month,722,Casio Fx 82Es Plus 2Nd Edition
https://www.amazon.in/Amazon-Basics-12-Digit-Display-Calculator/dp/B0CZML7TRJ/ref=zg_bs_g_3591018031_d_sccl_3/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/71JVSfjW56L._SX679_.jpg,amazon basics AB-512 12-Digit Display Basic Calculator(Black),4.2,933,900+ bought in past month,329,Amazon Basics Ab 512 12 Digit
https://www.amazon.in/Happiness-Planner-Stickers-Bookmarks-Activity/dp/B0CJRSR7W1/ref=zg_bs_g_3591015031_d_sccl_4/521-8137478-2842638?psc=1,,"Doodle Happiness Planner 2026 – B5 Wiro Planner + 64-Page Pocket Book + 250+ Stickers | 268 Pages, 80 GSM | Premium Gift Box, Tear-Away Note & Quote Cards | Activity & To-Do Pages (Bright Garden)",4.6,749,900+ bought in past month,499,Doodle Happiness Planner 2026 B5 Wiro
https://www.amazon.in/Scotch-Extreme-Surfaces-Resistant-Interior/dp/B0BZ3WNQ5T/ref=zg_bs_g_3591020031_d_sccl_4/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61HfkIB-2rL._SX679_.jpg,"Scotch Extreme Double Sided Tape by 3M, 1M Holds 6.7Kg, Works On Uneven Surfaces, Weather Resistant, Works On Indoor, Outdoor, Auto Interior Surfaces, (L: 1.5m, W: 19mm), Black",3.9,"7,777",8K+ bought in past month,0,Scotch Extreme Double Sided Tape 3M
https://www.amazon.in/JK-Copier-Paper-Sheets-Ream/dp/B00MVV81MK/ref=zg_bs_g_3591019031_d_sccl_1/521-8137478-2842638?psc=1,,"JK Copier Paper - A4, 75 GSM, 1 Ream, 500 Sheets",4.1,"19,982",8K+ bought in past month,0,Jk Copier Paper A4 75 Gsm
https://www.amazon.in/LifeKrafts-Industrial-Powerful-Refrigerator-Projects/dp/B07XLRW6P2/ref=zg_bs_g_3591020031_d_sccl_17/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/610ntgO2CUL._SX679_.jpg,"LifeKrafts Ceramic Magnets | 18×5 mm Round Disc | Pack of 10 | Grade 11 Small Strong Magnets | Multipurpose DIY, Craft, Refrigerator, Home, Office & School Use",4.3,"1,000",800+ bought in past month,149,Lifekrafts Ceramic Magnets 18 5 Mm
